Identifiant_Accident,Vitesse_Maximale_Autorisee,jour,mois,Annee,Luminosite,Departement,Commune,Agglomeration,Connition_Atmospheriques,adresse,Latitude,Longitude
201900000541,80,25,https://www.wikidata.org/wiki/Q117,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12674,23093,Hors aglomeration,Normale,D997,46.212397,2.238663
201900000593,50,27,https://www.wikidata.org/wiki/Q118,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12744,92004,En aglomeration,Normale,AULAGNIER ( QUAI ),48.915663,2.3156618
201900000595,70,29,https://www.wikidata.org/wiki/Q118,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12689,37063,Hors aglomeration,Normale,3 Rue du Pr Guillaume Louis,47.586266,0.897914
201900000601,80,29,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12692,40295,Hors aglomeration,Normale,Chemin Castelnau,44.37761,-0.799753
201900000603,50,30,https://www.wikidata.org/wiki/Q118,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12703,51660,En aglomeration,Normale,AVENUE DU VAL DES BOIS,49.3481234,4.2125039
201900000613,80,29,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12699,47147,Hors aglomeration,Temps eblouissant,Au Trespountets,44.636076,0.241719
201900000614,-1,30,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12686,34214,Hors aglomeration,Normale,D15,43.466043,3.273719
201900000632,70,30,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q31057,98613,Hors aglomeration,Normale,Vailala,45.893441,-0.14759
201900000637,80,30,https://www.wikidata.org/wiki/Q118,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12730,78231,Hors aglomeration,Normale,RD 928,48.951903,1.65173
201900000645,50,30,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12732,80685,En aglomeration,Normale,25 Rue Saint Pierre,49.698684,2.790996
201900000664,50,26,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12727,75116,En aglomeration,Temps couvert,AVENUE FOCH,48.8731676,2.2844497
201900000693,80,29,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12683,31439,Hors aglomeration,Normale,D54,43.537251,1.606197
201900000698,-1,29,https://www.wikidata.org/wiki/Q118,2019,Nuit avec eclairage public non allume,https://www.wikidata.org/wiki/Q12712,60656,En aglomeration,Pluie legere,D20,49.0899,3.056406
201900000700,80,29,https://www.wikidata.org/wiki/Q118,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12714,62060,Hors aglomeration,Pluie legere,D938,50.223434,2.097879
201900000712,50,29,https://www.wikidata.org/wiki/Q118,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12702,50359,En aglomeration,Normale,Rue des Fontaines,48.648821,-0.941651
201900000737,50,19,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12711,59009,En aglomeration,Normale,OUEST BOULEVARD DE L,50.6398651,3.1226237
201900000763,50,20,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12685,33065,En aglomeration,Normale,QUAI DE LA SOUYS,44.81491,-0.52758
201900000770,50,19,https://www.wikidata.org/wiki/Q116,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12685,33063,En aglomeration,Normale,QUAI RICHELIEU,44.83821,-0.5671
201900000772,70,19,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12678,26252,Hors aglomeration,Normale,RN7 DEV PLV AVENUE DU PORT,44.87888,4.8666
201900000854,80,20,https://www.wikidata.org/wiki/Q116,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12658,10066,Hors aglomeration,Normale,"PR 8 , RD 34",48.243245,3.89771
201900000858,-1,20,https://www.wikidata.org/wiki/Q116,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12693,41149,En aglomeration,Normale,Avenue des reclusages,47.746789,0.864361
201900000860,80,21,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12714,62773,Hors aglomeration,Normale,D127E4,50.633034,1.789274
201900000867,70,20,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12715,63295,Hors aglomeration,Normale,Lieu dit Jussat,45.9970063,3.3561999
201900000885,80,20,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12739,87006,Hors aglomeration,Temps eblouissant,RD49,46.326826,1.060634
201900000886,80,21,https://www.wikidata.org/wiki/Q116,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12700,48128,Hors aglomeration,Temps couvert,D806 MasbÃ©rals le Vieux,44.744662,3.340474
201900000890,90,21,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q33785,98814,Hors aglomeration,Normale,R.M.12,-20.93222,167.10382
201900000905,80,21,https://www.wikidata.org/wiki/Q116,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12685,33366,En aglomeration,Normale,rd 137,45.009858,-0.439878
201900000929,70,21,https://www.wikidata.org/wiki/Q119,2019,Plein jour,https://www.wikidata.org/wiki/Q12736,84141,En aglomeration,Normale,Rue Rainoardi,43.9731305,4.9045101
201900000946,80,28,https://www.wikidata.org/wiki/Q119,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12661,13088,Hors aglomeration,Normale,rn 568,43.366711,5.234677
201900000953,50,14,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q12744,92051,En aglomeration,Normale,MAILLOT (BOULEVARD),48.87825,2.27622
201900000954,50,31,https://www.wikidata.org/wiki/Q119,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12744,92051,En aglomeration,Normale,"BINEAU (BOULEVARD, NÂ°53 A 131 ET 52 A 13",48.888902,2.273988
201900000956,-1,27,https://www.wikidata.org/wiki/Q108,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12744,92024,En aglomeration,Normale,114 CLICHY (QUAI DE)/ GENERAL LECLERC (BD DU),48.9106563,2.3058111
201900000963,50,8,https://www.wikidata.org/wiki/Q113,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12743,91461,En aglomeration,Normale,Route de Limours,48.60092,2.229967
201900000986,50,26,https://www.wikidata.org/wiki/Q118,2019,Plein jour,,06088,En aglomeration,Normale,Rond point dit de l'aÃ©ropostale,43.663472,7.200611
201900000987,90,1,https://www.wikidata.org/wiki/Q108,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12711,59009,Hors aglomeration,Normale,ROUTE NATIONALE 227,50.6407147,3.1439835
201900000988,50,6,https://www.wikidata.org/wiki/Q119,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12735,83137,En aglomeration,Normale,"1643, avenue Joseph Gasquet",43.122359,5.972445
201900000992,-1,21,https://www.wikidata.org/wiki/Q119,2019,Plein jour,https://www.wikidata.org/wiki/Q12690,38185,Hors aglomeration,Normale,,45.18222,5.70284
201900001000,80,16,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12661,13072,Hors aglomeration,Normale,CD 6,43.462967,5.612687
201900001002,80,17,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12658,10210,Hors aglomeration,Normale,D5,48.384797,4.22059
201900001004,50,16,https://www.wikidata.org/wiki/Q109,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12740,88196,En aglomeration,Normale,10 Boulevard des xettes,48.072809,6.870077
201900001006,50,16,https://www.wikidata.org/wiki/Q109,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12726,74153,En aglomeration,Normale,route de Lucinges,46.190912,6.318078
201900001008,80,15,https://www.wikidata.org/wiki/Q109,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12690,38072,Hors aglomeration,Normale,d51,45.33635,4.83212
201900001008,80,15,https://www.wikidata.org/wiki/Q109,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12690,38072,Hors aglomeration,Normale,d51,45.33635,4.83212
201900001029,80,16,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12685,33351,Hors aglomeration,Temps eblouissant,RD132E1,45.23647,-0.51667
201900001031,30,17,https://www.wikidata.org/wiki/Q109,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12701,49023,En aglomeration,Normale,1 rue des mauges,47.198445,-0.994567
201900001038,50,14,https://www.wikidata.org/wiki/Q109,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12687,35110,En aglomeration,Normale,6 rue de dingÃ©,48.329551,-1.642894
201900001039,80,16,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12679,27124,Hors aglomeration,Normale,Rue de la Mairie,49.118715,1.22335
201900001040,50,18,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12728,76758,En aglomeration,Normale,IMPASSE LÃON JACQUES,49.61724,0.744905
201900001043,110,16,https://www.wikidata.org/wiki/Q109,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12712,60540,Hors aglomeration,Normale,CD200,49.344502,2.739432
201900001046,90,18,https://www.wikidata.org/wiki/Q109,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12732,80521,Hors aglomeration,Normale,autoroute A1 sens PARIS/LILLE PK 134+075,49.981045,2.867649
201900001067,110,7,https://www.wikidata.org/wiki/Q109,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12711,59557,Hors aglomeration,Normale,AUTOROUTE A2,50.34074,3.56628
201900001067,110,7,https://www.wikidata.org/wiki/Q109,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12711,59557,Hors aglomeration,Normale,AUTOROUTE A2,50.34074,3.56628
201900001176,50,4,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12714,62528,Hors aglomeration,Pluie legere,HOCHE (R LAZARE),50.466432,2.805345
201900001188,80,17,https://www.wikidata.org/wiki/Q112,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12711,59275,Hors aglomeration,Pluie legere,CD 90,50.594611,3.205854
201900001208,90,16,https://www.wikidata.org/wiki/Q112,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12661,13005,Hors aglomeration,Normale,A50-Sens Aubagne vers Marseille,43.287818,5.545054
201900001262,90,23,https://www.wikidata.org/wiki/Q112,2019,Plein jour,https://www.wikidata.org/wiki/Q12709,57666,Hors aglomeration,Normale,Autoroute A31,49.34614,6.12023
201900001279,90,16,https://www.wikidata.org/wiki/Q112,2019,Plein jour,https://www.wikidata.org/wiki/Q12685,33096,Hors aglomeration,Normale,AUTOROUTE A 10,44.89353,-0.49946
201900001290,110,20,https://www.wikidata.org/wiki/Q112,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12714,62393,Hors aglomeration,Normale,AUTOROUTE A16,50.93363,1.99715
201900001293,110,13,https://www.wikidata.org/wiki/Q112,2019,Plein jour,https://www.wikidata.org/wiki/Q12714,62510,Hors aglomeration,Normale,AUTOROUTE A21,50.43966,2.7733
201900001305,130,26,https://www.wikidata.org/wiki/Q112,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12743,91661,Hors aglomeration,Normale,AUTOROUTE A10,48.70334,2.24872
201900001390,90,16,https://www.wikidata.org/wiki/Q115,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12686,34032,Hors aglomeration,Normale,ROUTE DEPARTEMENTALE NR.64,43.30439,3.21634
201900001447,-1,14,https://www.wikidata.org/wiki/Q113,2019,Plein jour,https://www.wikidata.org/wiki/Q12744,92050,En aglomeration,Normale,QUENTIN JULES AVENUE,48.89498,2.19189
201900001480,50,16,https://www.wikidata.org/wiki/Q115,2019,Plein jour,https://www.wikidata.org/wiki/Q12661,13215,En aglomeration,Normale,VISTE (AVENUE DE LA),43.359941,5.357598
201900001598,70,2,https://www.wikidata.org/wiki/Q113,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12673,22213,Hors aglomeration,Normale,Le Bouillon,48.5081292,-1.9988723
201900001611,80,15,https://www.wikidata.org/wiki/Q113,2019,Plein jour,https://www.wikidata.org/wiki/Q12706,54089,Hors aglomeration,Normale,D913,48.785144,6.280325
201900001648,50,16,https://www.wikidata.org/wiki/Q115,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12746,94041,En aglomeration,Normale,REPUBLIQUE (AV DE LA),48.80254,2.3972
201900001649,80,9,https://www.wikidata.org/wiki/Q113,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12666,17045,Hors aglomeration,Normale,RD 238,45.871217,-0.853417
201900001660,90,14,https://www.wikidata.org/wiki/Q113,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12726,74307,Hors aglomeration,Normale,A410,46.003521,6.126588
201900001704,80,18,https://www.wikidata.org/wiki/Q113,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12736,84137,Hors aglomeration,Normale,Avenue Marcel Corneloup,44.229222,5.088657
201900001742,50,25,https://www.wikidata.org/wiki/Q117,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q33785,98805,En aglomeration,Normale,R.T.1,-22.198157,166.478795
201900001747,50,24,https://www.wikidata.org/wiki/Q117,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12661,13058,En aglomeration,Normale,Avenue du GÃ©nÃ©ral de Gaulle,43.715177,4.805211
201900001751,50,15,https://www.wikidata.org/wiki/Q113,2019,Plein jour,https://www.wikidata.org/wiki/Q30971,98742,Hors aglomeration,Normale,.,-18.520691,-136.347727
201900001753,50,24,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q17060,97228,En aglomeration,Normale,Route Departementale 25 Bon Air,14.74783,-61.003714
201900001761,80,25,https://www.wikidata.org/wiki/Q117,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12666,17038,Hors aglomeration,Normale,RD 145,45.200485,-0.33989
201900001763,70,24,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q12685,33164,Hors aglomeration,Pluie forte,D8,44.53953,-0.287619
201900001764,80,25,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q12702,50597,Hors aglomeration,Pluie legere,La Durerie - Tirepied,48.714929,-1.308251
201900001807,50,21,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q12737,85194,En aglomeration,Normale,BOULEVARD DU VENDEE GLOBE ,46.49985,-1.75691
201900001839,50,23,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q12682,30007,En aglomeration,Pluie forte,LUMIERES (AVE DES FRERES),44.13967,4.08931
201900001887,50,6,https://www.wikidata.org/wiki/Q116,2019,Plein jour,,09209,Hors aglomeration,Normale,Audinac les Bains,43.00734,1.182732
201900001890,50,24,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q17070,97422,En aglomeration,Normale,4 Chemin de l'Hermitage,-21.264326,55.507923
201900001901,80,24,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q12690,38389,Hors aglomeration,Normale,D518,45.55605,5.09772
201900001911,80,23,https://www.wikidata.org/wiki/Q117,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12682,30004,Hors aglomeration,Pluie legere,N113,43.716769,4.202244
201900001919,70,23,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q33785,98821,Hors aglomeration,Pluie legere,R.T.1,-22.08833,166.31951
201900001938,110,26,https://www.wikidata.org/wiki/Q118,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12743,91340,Hors aglomeration,Normale,AUTOROUTE A6,48.5964,2.4418
201900001980,30,25,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12708,56121,En aglomeration,Normale,COMBES (RUE  EMILE ),47.75694,-3.37275
201900002061,80,28,https://www.wikidata.org/wiki/Q118,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12693,41173,Hors aglomeration,Pluie legere,D50,47.927362,1.401962
201900002074,50,27,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12683,31582,En aglomeration,Temps eblouissant,14 Avenue de la Fontasse,43.396397,1.718404
201900002078,50,28,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12662,14120,En aglomeration,Normale,41 Route de 7 Vents,49.066884,-0.77271
201900002079,80,27,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12688,36194,Hors aglomeration,Pluie legere,D943,46.910167,1.337503
201900002080,50,27,https://www.wikidata.org/wiki/Q118,2019,Nuit avec eclairage public allume,,07010,En aglomeration,Normale,rue Font Chevalier,45.2449048,4.662941
201900002082,80,28,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q12692,40278,Hors aglomeration,Normale,D 44,44.177984,-1.130264
201900002083,50,28,https://www.wikidata.org/wiki/Q118,2019,Plein jour,https://www.wikidata.org/wiki/Q17070,97422,En aglomeration,Normale,Chemin Notre Dame de la Paix,-21.221707,55.560441
201900002139,50,21,https://www.wikidata.org/wiki/Q112,2019,Plein jour,,06029,En aglomeration,Normale,PETIT JUAS (TRAVERSE),43.56338,7.01261
201900002146,50,28,https://www.wikidata.org/wiki/Q119,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12712,60057,En aglomeration,Normale,SAINT JEAN (BOULEVARD),49.42926,2.07609
201900002158,80,17,https://www.wikidata.org/wiki/Q119,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12711,59544,Hors aglomeration,Normale,ROLEUR (RUE DU),50.35961,3.5761
201900002170,90,30,https://www.wikidata.org/wiki/Q119,2019,Plein jour,https://www.wikidata.org/wiki/Q12695,43041,Hors aglomeration,Normale,R.N 88,45.0551315,3.9095879
201900002179,50,24,https://www.wikidata.org/wiki/Q119,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12662,14658,En aglomeration,Normale,Place President Albert Lebrun,48.846043,-1.019364
201900002191,50,6,https://www.wikidata.org/wiki/Q114,2019,Plein jour,https://www.wikidata.org/wiki/Q12658,10245,En aglomeration,Normale,grande rue,48.256033,4.207581
201900002205,-1,23,https://www.wikidata.org/wiki/Q108,2019,Plein jour,https://www.wikidata.org/wiki/Q12725,73213,Hors aglomeration,Neige ou grele,Route d'Apremont,45.553615,5.954225
201900002210,-1,22,https://www.wikidata.org/wiki/Q119,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12721,69383,En aglomeration,Temps couvert,FERNAND BUISSON (R),45.75275,4.89784
201900002234,80,24,https://www.wikidata.org/wiki/Q112,2019,Plein jour,https://www.wikidata.org/wiki/Q12695,43224,Hors aglomeration,Normale,RD43,45.233285,4.217537
201900002247,-1,27,https://www.wikidata.org/wiki/Q114,2019,Plein jour,https://www.wikidata.org/wiki/Q12667,18027,En aglomeration,Normale,Avenue de la gare,47.0006059,2.7490067
201900002258,80,11,https://www.wikidata.org/wiki/Q118,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12685,33208,Hors aglomeration,Temps couvert,RD103 / RD102E2,45.383507,-0.95615
201900002259,80,6,https://www.wikidata.org/wiki/Q111,2019,Plein jour,https://www.wikidata.org/wiki/Q12659,11170,Hors aglomeration,Normale,,43.133979,3.103967
201900002260,50,4,https://www.wikidata.org/wiki/Q109,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12718,66141,En aglomeration,Normale,route de PERPIGNAN,42.735145,2.904775
201900002293,50,17,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12747,95268,En aglomeration,Normale,AV DE STALINGRAD,48.964693,2.406799
201900002338,50,11,https://www.wikidata.org/wiki/Q114,2019,Plein jour,https://www.wikidata.org/wiki/Q12685,33063,En aglomeration,Normale,R. du Grand Maurian / R. Frantz Schrader,44.832225,-0.609894
201900002376,50,16,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12746,94041,En aglomeration,Normale,HENRI BARBUSSE (AV),48.809,2.376
201900002418,50,20,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12734,82134,En aglomeration,Normale,1145 Avenue du 8 Mai 1945,44.071442,1.508843
201900002421,80,20,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12741,89352,Hors aglomeration,Temps eblouissant,CD90 X CD92,47.658127,3.040572
